"","grpcode","w","d","premium","cpdloss","incloss","wne1"
"1","353",1,1,5812,952,1722,0
"2","353",2,1,4908,849,1581,1
"3","353",3,1,5454,983,1834,1
"4","353",4,1,5165,1657,2305,1
"5","353",5,1,5214,932,1832,1
"6","353",6,1,5230,1162,2289,1
"7","353",7,1,4992,1478,2881,1
"8","353",8,1,5466,1240,2489,1
"9","353",9,1,5226,1326,2541,1
"10","353",10,1,4962,1413,2203,1
"11","353",1,2,5812,1529,3830,0
"12","353",2,2,4908,1564,2192,1
"13","353",3,2,5454,2211,3009,1
"14","353",4,2,5165,2685,3473,1
"15","353",5,2,5214,1940,2625,1
"16","353",6,2,5230,2402,3160,1
"17","353",7,2,4992,2980,4254,1
"18","353",8,2,5466,2080,2956,1
"19","353",9,2,5226,2412,3307,1
"20","353",10,2,4962,2683,2934,1
"21","353",1,3,5812,2813,3603,0
"22","353",2,3,4908,2202,2528,1
"23","353",3,3,5454,2830,3488,1
"24","353",4,3,5165,3169,3713,1
"25","353",5,3,5214,2626,3086,1
"26","353",6,3,5230,2799,3154,1
"27","353",7,3,4992,3945,4841,1
"28","353",8,3,5466,2607,3382,1
"29","353",9,3,5226,3367,3789,1
"30","353",10,3,4962,3173,3608,1
"31","353",1,4,5812,3647,3835,0
"32","353",2,4,4908,2432,2533,1
"33","353",3,4,5454,3832,4000,1
"34","353",4,4,5165,3600,4018,1
"35","353",5,4,5214,3332,3493,1
"36","353",6,4,5230,2996,3204,1
"37","353",7,4,4992,4714,5176,1
"38","353",8,4,5466,3080,3755,1
"39","353",9,4,5226,3843,3973,1
"40","353",10,4,4962,3674,3977,1
"41","353",1,5,5812,3724,3873,0
"42","353",2,5,4908,2468,2528,1
"43","353",3,5,5454,4039,4105,1
"44","353",4,5,5165,3900,4295,1
"45","353",5,5,5214,3368,3521,1
"46","353",6,5,5230,3034,3190,1
"47","353",7,5,4992,5462,5551,1
"48","353",8,5,5466,3678,4148,1
"49","353",9,5,5226,3965,4031,1
"50","353",10,5,4962,3805,4040,1
"51","353",1,6,5812,3832,3895,0
"52","353",2,6,4908,2487,2530,1
"53","353",3,6,5454,4065,4087,1
"54","353",4,6,5165,4320,4334,1
"55","353",5,6,5214,3491,3563,1
"56","353",6,6,5230,3042,3206,1
"57","353",7,6,4992,5680,5689,1
"58","353",8,6,5466,4116,4123,1
"59","353",9,6,5226,4127,4157,1
"60","353",10,6,4962,4005,4121,1
"61","353",1,7,5812,3899,3918,0
"62","353",2,7,4908,2513,2534,1
"63","353",3,7,5454,4102,4112,1
"64","353",4,7,5165,4332,4343,1
"65","353",5,7,5214,3531,3542,1
"66","353",6,7,5230,3230,3351,1
"67","353",7,7,4992,5682,5683,1
"68","353",8,7,5466,4117,4126,1
"69","353",9,7,5226,4133,4143,1
"70","353",10,7,4962,4020,4147,1
"71","353",1,8,5812,3907,3918,0
"72","353",2,8,4908,2526,2541,1
"73","353",3,8,5454,4155,4170,1
"74","353",4,8,5165,4338,4340,1
"75","353",5,8,5214,3540,3541,1
"76","353",6,8,5230,3238,3289,1
"77","353",7,8,4992,5683,5688,1
"78","353",8,8,5466,4125,4127,1
"79","353",9,8,5226,4141,4142,1
"80","353",10,8,4962,4095,4155,1
"81","353",1,9,5812,3911,3917,0
"82","353",2,9,4908,2531,2538,1
"83","353",3,9,5454,4268,4271,1
"84","353",4,9,5165,4341,4342,1
"85","353",5,9,5214,3540,3541,1
"86","353",6,9,5230,3241,3267,1
"87","353",7,9,4992,5684,5684,1
"88","353",8,9,5466,4128,4128,1
"89","353",9,9,5226,4142,4144,1
"90","353",10,9,4962,4132,4183,1
"91","353",1,10,5812,3912,3917,0
"92","353",2,10,4908,2527,2532,1
"93","353",3,10,5454,4274,4279,1
"94","353",4,10,5165,4341,4341,1
"95","353",5,10,5214,3583,3587,1
"96","353",6,10,5230,3268,3268,1
"97","353",7,10,4992,5684,5684,1
"98","353",8,10,5466,4128,4128,1
"99","353",9,10,5226,4144,4144,1
"100","353",10,10,4962,4139,4181,1
