group,code,non_adpt,adpt,non_adpt_se,apt_se,non_adpt_cv,adpt_cv
c_auto,353,74.54,73.56,1800,1806,0.046,0.0461
c_auto,388,99.92,99.95,12731,12760,0.0185,0.0185
c_auto,620,91.86,91.98,13743,13552,0.037,0.0365
c_auto,833,73.45,73.36,1067,1058,0.0444,0.044
c_auto,1066,24,23.74,5722,5801,0.0854,0.0865
c_auto,1090,37.53,37.07,1254,1276,0.0575,0.0585
c_auto,1538,62.49,62.73,3165,3178,0.0351,0.0352
c_auto,1767,2.6,2,22844,22833,0.01,0.01
c_auto,2135,98.18,98.5,13476,13024,0.0272,0.0263
c_auto,2208,20.34,19.96,609,686,0.1023,0.1153
c_auto,2623,100,100,11231,11360,0.0308,0.0311
c_auto,2712,61.52,62.07,9924,9856,0.0291,0.0289
c_auto,3240,18.6,17.48,3164,3177,0.0332,0.0333
c_auto,3492,13.64,13.18,2106,2060,0.0295,0.0289
c_auto,4839,70.22,70.24,3255,3258,0.0212,0.0213
c_auto,5185,58.34,59.54,2783,2823,0.0316,0.0321
c_auto,6408,8.79,8.32,728,738,0.0423,0.0429
c_auto,6459,49.7,50.41,626,626,0.0703,0.0705
c_auto,6947,72.85,72.72,578,572,0.0351,0.0348
c_auto,7080,33.89,34.22,11518,11432,0.0338,0.0336
c_auto,8427,83.27,83.38,765,777,0.1013,0.1026
c_auto,10022,0.14,0.14,1163,1086,0.1461,0.1334
c_auto,10308,31.25,31.75,225,237,0.0407,0.0428
c_auto,11037,37.49,38.15,929,899,0.0429,0.0416
c_auto,11118,84.22,84.58,2096,2175,0.0707,0.0734
c_auto,13420,51.55,26.33,8196956,171303742,19.58,34.85
c_auto,13439,38.85,37.19,370,392,0.0976,0.1023
c_auto,13641,87.8,87.21,503,495,0.0623,0.0613
c_auto,13889,62.64,62.98,198,202,0.0959,0.098
c_auto,14044,22.23,23.43,221,226,0.0398,0.0407
c_auto,14176,9.09,10.22,2365,2566,0.0962,0.1046
c_auto,14257,66.13,67.1,391,396,0.0579,0.0587
c_auto,14320,63.21,63.17,871,740,0.4691,0.4036
c_auto,14974,71.78,73.69,1876,1811,0.0499,0.0483
c_auto,15199,89.05,88.45,143,149,0.0754,0.0789
c_auto,18163,37.86,37.72,2093,2110,0.0633,0.0638
c_auto,18767,4.06,3.86,2894,2870,0.0343,0.034
c_auto,19020,91.39,92.31,1427,1385,0.0948,0.092
c_auto,21270,90.93,92.11,275,274,0.0656,0.0654
c_auto,25275,26.16,27.03,229,276,0.1925,0.2317
c_auto,27022,10.95,11.73,278,284,0.1228,0.126
c_auto,27065,66.36,65.54,250,239,0.0701,0.0668
c_auto,29440,19.8,20.37,2167,2210,0.5227,0.5369
c_auto,31550,63.05,64.72,619,643,0.0464,0.0482
c_auto,32301,73.33,73.1,713,731,0.0894,0.0916
c_auto,34606,27.64,29.43,92,86,0.1427,0.134
c_auto,35483,52.24,66.39,9831,1634,5.0652,1.2938
c_auto,37036,42.58,42.21,376,380,0.031,0.0313
c_auto,38733,63.37,63.82,2992,2819,0.1116,0.1054
c_auto,44598,44.53,45.41,214,208,0.1781,0.1742
